180d_absolute_return,180d_btc_relative_return,180d_mae,180d_mfe,180d_time_to_mfe_days,30d_absolute_return,30d_btc_relative_return,30d_mae,30d_mfe,30d_time_to_mfe_days,365d_absolute_return,365d_btc_relative_return,365d_mae,365d_mfe,365d_time_to_mfe_days,90d_absolute_return,90d_btc_relative_return,90d_mae,90d_mfe,90d_time_to_mfe_days,btc_rel30,distance_90d_high,ret30,ret90,stage,symbol,t,taker_buy_share_7d,universe_rank,universe_size,utc,volume_ratio_7d
-0.20795660036166375,-0.7962072577420916,-0.21131490570911915,0.6579695169206923,54,0.021958150348747152,0.03453306802813516,-0.15939033841384653,0.1849651252906226,8,-0.5892534228881425,-1.9565490427208956,-0.7434771376905193,0.6579695169206923,54,0.2402479979333505,-0.08365340684716727,-0.15939033841384653,0.6579695169206923,54,0.05328586137904845,-0.39515625,-0.1111366245694605,-0.1932055022926219,PRE_MOVE,APEUSDT,1670025600000,0.5028706901936247,17,100,2022-12-03,1.6136779043549325
-0.5394957983193278,-1.3039073125397667,-0.5406962785114046,0.5409363745498199,19,0.3445378151260503,0.0011066492029301322,-0.020888355342136844,0.5409363745498199,19,-0.6713085234093638,-2.2639746498514297,-0.7615846338535415,0.5409363745498199,19,0.009363745498199183,-0.6376522021444759,-0.13781512605042012,0.5409363745498199,19,0.06911820546268355,-0.2220769518117296,0.05283114256825083,-0.20877659574468088,PRE_MOVE,APEUSDT,1673049600000,0.5431094607049758,13,100,2023-01-07,1.4786506714090648
-0.7262789680804547,-0.6838788175979686,-0.7923043288150415,0.17315260166156543,11,-0.17752514210756443,-0.3011395352540295,-0.2566681241801486,0.17315260166156543,11,-0.6991692173152602,-1.2199650967279396,-0.7923043288150415,0.17315260166156543,11,-0.45386969829470913,-0.5434482376337476,-0.5627459554000874,0.17315260166156543,11,0.08081186838865717,-0.08520000000000005,0.5196013289036545,0.43836477987421363,PRE_MOVE,APEUSDT,1709337600000,0.5089619017280693,58,100,2024-03-02,1.7419256887799308
2.3405600722673894,0.8758788340355439,-0.10569105691056913,3.46070460704607,145,0.031616982836494945,-0.21274032354114847,-0.10569105691056913,0.074977416440831,16,0.3956639566395663,-0.9966770914354612,-0.10569105691056913,3.46070460704607,145,0.6350496838301718,-0.019416984542297344,-0.10569105691056913,0.7479674796747968,83,0.21215014347323113,-0.2693069306930693,0.2272727272727273,0.03651685393258419,PRE_MOVE,API3USDT,1695427200000,0.5018820245386216,67,100,2023-09-23,1.2176971335040037
-0.36791562114574927,-0.6758768475569099,-0.5406796240377664,0.7352103091906603,5,0.20938204397567284,0.11902518562831244,-0.002177518819376556,0.7352103091906603,5,-0.2816229319950666,-1.1066383488199252,-0.6002211542550929,0.7352103091906603,5,-0.13676689490919924,-0.3333688291995097,-0.17487347424828825,0.7352103091906603,5,1.8142611268854947,-0.12435480146878086,2.1686971052773436,0.20191177222307433,PRE_MOVE,APTUSDT,1674259200000,0.5034939644479663,5,100,2023-01-21,1.4050248833454277
-0.05084745762711862,-0.48721932257978684,-0.2958397534668721,1.362095531587057,98,0.18181818181818188,0.10799580690341015,-0.15562403697996918,0.3312788906009245,26,-0.3443759630200308,-1.1798690337788518,-0.4226502311248075,1.362095531587057,98,1.0462249614791985,0.3936320132998401,-0.15562403697996918,1.1741140215716483,72,0.11010310912215993,-0.30957446808510636,0.012480499219968744,-0.2724215246636771,PRE_MOVE,APTUSDT,1725062400000,0.5093095374685201,39,100,2024-08-31,1.80043595998316
-0.38970110461338536,-0.7192160642907028,-0.5214424951267057,1.0116959064327484,76,-0.044671864847303566,-0.10826470046765146,-0.1777128005198182,0.1057504873294346,6,-0.2192982456140351,-1.038306639753418,-0.6068875893437298,1.0116959064327484,76,0.29304743339831063,-0.25086804682425345,-0.25324886289798576,1.0116959064327484,76,0.046715158338252794,-0.2725983693725629,0.09595869681324554,-0.2147959183673469,PRE_MOVE,ARBUSDT,1726876800000,0.5129569259265747,26,100,2024-09-21,1.4726347720905637
-0.574611748818366,-0.8991586527632169,-0.7170830519918974,0.8278190411883861,69,0.06617150573936526,0.0038524252935574488,-0.1444969615124917,0.38419986495611047,18,-0.6374071573261311,-1.3405252295421108,-0.7542201215395004,0.8278190411883861,69,0.007427413909520508,-0.42442642313381507,-0.1444969615124917,0.8278190411883861,69,0.2707561523937534,-0.19423286180631116,0.3802423112767941,-0.1735491071428571,PRE_MOVE,ARKMUSDT,1727481600000,0.5062883997254238,50,100,2024-09-28,1.8698636466616632
-0.3409408476944574,-0.6818330775439531,-0.36422915696320446,0.8786679087098277,61,-0.03167210060549608,-0.12500430596177559,-0.06544014904517936,0.56078248719143,15,0.027713088029809096,-0.9620756579819862,-0.3721471821145784,0.8786679087098277,61,0.2622263623660923,-0.31974824203624097,-0.06544014904517936,0.8786679087098277,61,0.39729576807471023,-0.2722033898305084,0.5019237495627842,0.27079017460787225,PRE_MOVE,ARKUSDT,1728086400000,0.5020340358168505,91,100,2024-10-05,2.047905988705861
-0.11743051720964481,-0.4881384986014359,-0.372170071783545,1.3927848334253636,14,-0.036812074360390246,-0.004316055644619565,-0.23946254371433828,1.3927848334253636,14,0.34529725750046003,-0.9509995506001463,-0.372170071783545,1.3927848334253636,14,0.004969630038652584,-0.0940302683751082,-0.23946254371433828,1.3927848334253636,14,0.35549749353624827,-0.21658255227108858,0.23702185792349728,0.3647324792765638,PRE_MOVE,ARPAUSDT,1683936000000,0.5017645533711066,76,100,2023-05-13,13.32488118053806
-0.7678753830439223,-0.1955348971344245,-0.8169050051072523,0.06613891726251286,1,-0.3659346271705822,-0.20689334887497646,-0.437946884576098,0.06613891726251286,1,-0.7877936670071501,-0.4027523013962706,-0.8449948927477017,0.06613891726251286,1,-0.7252298263534218,-0.1460850794585713,-0.8169050051072523,0.06613891726251286,1,0.16016668525218347,-0.4324637681159421,0.23924050632911387,-0.34906914893617025,PRE_MOVE,ARUSDT,1648857600000,0.5114262327767163,77,100,2022-04-02,1.6001029923391732
-0.5028248587570621,-0.3920009141647882,-0.6189579409918393,0.14500941619585683,15,-0.12554927809165095,-0.26233332761136263,-0.27118644067796616,0.14500941619585683,15,-0.6446955430006278,-1.0710288385902786,-0.7363465160075329,0.14500941619585683,15,-0.38983050847457623,-0.2945904586529152,-0.47269303201506585,0.14500941619585683,15,0.7837211780564004,-0.5021875,0.8226544622425629,-0.44533426183844005,PRE_MOVE,ARUSDT,1657929600000,0.5024696424864638,74,100,2022-07-16,1.3516791964135375
-0.4900393653823213,-0.9792761775579614,-0.6287128712871287,0.046731480376953405,1,-0.3609089824645114,-0.24620143721128207,-0.5162829535965645,0.046731480376953405,1,-0.7411427889776929,-1.4877199391577047,-0.8660980555886914,0.046731480376953405,1,-0.43039484671358696,-0.4495792489682202,-0.5162829535965645,0.046731480376953405,1,0.2503985850346282,-0.3232694248234107,0.2853911910146816,0.023096872616323427,PRE_MOVE,ARUSDT,1721433600000,0.5004286695094642,40,100,2024-07-20,1.2015237844871742
-0.14547754585705253,0.24856707026906322,-0.36306135357368763,0.881720430107527,69,-0.06989247311827962,0.22777434482526948,-0.1138519924098671,0.40512333965844394,1,-0.34503478810879185,-0.25711301584734314,-0.36306135357368763,0.881720430107527,69,0.36685641998734986,0.6153934318115731,-0.14990512333965833,0.881720430107527,69,1.5224246901449088,-0.6721277478224803,1.5015822784810124,-0.115771812080537,PRE_MOVE,ASRUSDT,1654905600000,0.5053292198022594,95,100,2022-06-11,2.5556470374252234
1.9595959595959598,0.9718572575801367,-0.3552188552188552,2.872053872053872,121,-0.16161616161616166,-0.18699929365327572,-0.18686868686868685,0.16835016835016847,4,-0.0033670033670033517,-1.2419619311084107,-0.3552188552188552,2.872053872053872,121,0.0892255892255891,-0.31360605719906753,-0.3552188552188552,0.47138047138047146,86,0.489677979634344,-0.0616113744075828,0.3655172413793104,0.15116279069767447,PRE_MOVE,ASTRUSDT,1692403200000,0.5058433797087525,69,100,2023-08-19,1.786740468138318
